;alarm_date;alarm_time;region;place;attack_number
223;2022-02-07;08:09:05;Bika'a;Tomer;26
224;2022-02-07;08:09:05;Bika'a;Beit She'an;26
225;2022-02-07;08:09:05;Southern Negev;Arad;26
226;2022-02-07;08:09:05;Confrontation Line;Kiryat Shmona;26
227;2022-02-07;08:09:05;Southern Negev;Dimona;26
228;2022-02-08;23:03:16;Wadi Ara;umm al-Fahm;27
229;2022-02-08;23:03:16;Wadi Ara;Mei Ami;27
230;2022-02-08;23:03:16;Wadi Ara;Hinanit;27
231;2022-02-08;23:03:16;Wadi Ara;Tal Menashe;27
232;2022-02-08;23:03:16;Wadi Ara;Shaked;27
233;2022-02-18;09:51:56;Upper Galilee;Hatzor HaGlilit Industrial Zone;28
234;2022-02-18;09:51:56;Upper Galilee;Tzahar Industrial Zone;28
235;2022-02-18;09:51:56;Upper Galilee;Ayelet HaShachar;28
236;2022-02-18;09:51:56;Upper Galilee;Elifelet;28
237;2022-02-18;09:51:56;Upper Galilee;Amnon;28
238;2022-02-18;09:51:56;Upper Galilee;Gadot;28
239;2022-02-18;09:51:56;Upper Galilee;Hulata;28
240;2022-02-18;09:51:56;Upper Galilee;Hatzor HaGlilit;28
241;2022-02-18;09:51:56;Upper Galilee;Tuba-Zangariyye;28
242;2022-02-18;09:51:56;Upper Galilee;Yesud Hama'ala;28
243;2022-02-18;09:51:56;Upper Galilee;Korazim Vered HaGalil;28
244;2022-02-18;09:51:56;Upper Galilee;Kfar HaNassi;28
245;2022-02-18;09:51:56;Upper Galilee;Karkom;28
246;2022-02-18;09:51:56;Upper Galilee;Machanaim;28
247;2022-02-18;09:51:56;Upper Galilee;Machanaim landing pad;28
248;2022-02-18;09:51:56;Upper Galilee;Mishmar HaYarden;28
249;2022-02-18;09:51:56;Upper Galilee;Amuka;28
250;2022-02-18;09:51:56;Upper Galilee;Amiad;28
251;2022-02-18;09:51:56;Upper Galilee;Rosh Pinna;28
252;2022-02-18;09:51:56;Upper Galilee;Sdeh Eliezer;28
253;2022-02-18;09:51:56;Upper Galilee;Almagor;28
254;2022-02-18;09:58:18;Lower Galilee;Hukok;29
255;2022-02-18;09:58:18;Lower Galilee;Kahal;29
256;2022-02-18;09:58:18;Lower Galilee;Kadarim;29
257;2022-03-16;12:33:42;Samaria;Ofarim;30
258;2022-04-17;12:32:38;Gaza Envelope;Nachal Oz;31
259;2022-04-18;17:22:53;Gaza Envelope;Kissufim;32
260;2022-04-18;17:23:05;Gaza Envelope;Ein HaShlosha;32
261;2022-04-20;19:33:00;Gaza Envelope;Sderot;33
262;2022-04-20;19:33:00;Gaza Envelope;Ibim;33
263;2022-04-20;19:33:00;Gaza Envelope;Nir Am;33
264;2022-04-20;23:04:07;Gaza Envelope;Erez;34
265;2022-04-20;23:04:07;Gaza Envelope;Nir Am Shooting Range;34
266;2022-04-20;23:04:07;Gaza Envelope;Mefalsim;34
267;2022-04-20;23:04:07;Gaza Envelope;Sderot;34
268;2022-04-20;23:04:07;Gaza Envelope;Ibim;34
269;2022-04-20;23:04:07;Gaza Envelope;Nir Am;34
270;2022-04-20;23:05:07;Gaza Envelope;Gavim;34
271;2022-04-20;23:05:07;Gaza Envelope;Sapir College;34
272;2022-04-20;23:05:07;Gaza Envelope;Erez;34
273;2022-04-20;23:05:07;Gaza Envelope;Nir Am Shooting Range;34
274;2022-04-20;23:05:07;Gaza Envelope;Sderot;34
275;2022-04-20;23:05:07;Gaza Envelope;Ibim;34
276;2022-04-20;23:05:07;Gaza Envelope;Nir Am;34
277;2022-04-20;23:34:48;Gaza Envelope;Sderot;35
278;2022-04-20;23:34:48;Gaza Envelope;Ibim;35
279;2022-04-20;23:34:48;Gaza Envelope;Nir Am;35
280;2022-05-19;06:15:23;Confrontation Line;Abirim;36
281;2022-05-19;06:15:23;Confrontation Line;Even Menachem;36
282;2022-05-19;06:15:23;Confrontation Line;Netua;36
283;2022-05-19;06:15:23;Confrontation Line;Fassuta;36
284;2022-05-19;06:15:23;Confrontation Line;Shtula;36
285;2022-06-18;00:10:41;Western Lakhish;Ashkelon - South;37
286;2022-06-18;00:10:50;Western Lakhish;Ashkelon Southern Industrial Zone;37
287;2022-06-18;00:10:50;Western Lakhish;Mavki'im;37
288;2022-06-18;00:10:50;Western Lakhish;Zikim;37
289;2022-06-18;00:10:50;Western Lakhish;Karmia;37
290;2022-06-18;00:10:50;Western Lakhish;Netiv HaAssara;37
291;2022-07-14;13:00:29;Samaria;Beit Horon;38
292;2022-07-15;21:50:54;Western Lakhish;Ashkelon - South;39
293;2022-07-15;21:50:54;Western Lakhish;Ashkelon - North;39
294;2022-07-15;21:50:58;Western Lakhish;Ge'a;39
295;2022-07-15;21:51:01;Western Lakhish;Ashkelon Southern Industrial Zone;39
296;2022-07-16;01:45:05;Lakhish;Ahuzam;40
297;2022-07-27;16:45:05;Samaria;Shilo;41
298;2022-08-05;17:56:05;Lakhish;Bitzaron;42
299;2022-08-05;17:56:05;Lakhish;Gan HaDarom;42
300;2022-08-05;17:56:05;Lakhish;Gan Yavne;42
301;2022-08-05;17:56:05;Lakhish;Kerem BeYavne;42
302;2022-08-05;17:56:05;Lakhish;Bnei Darom Compound;42
303;2022-08-05;17:56:05;Lakhish;Kvutzat Yavne;42
304;2022-08-05;17:56:05;Lakhish;Kfar Aviv;42
305;2022-08-05;17:56:07;Western Lakhish;Ashkelon Southern Industrial Zone;42
306;2022-08-05;17:56:07;Western Lakhish;Beit Shikma;42
307;2022-08-05;17:56:07;Western Lakhish;Ge'a;42
308;2022-08-05;17:56:07;Western Lakhish;Mavki'im;42
309;2022-08-05;17:56:07;Western Lakhish;Talmei Yaffe;42
310;2022-08-05;17:56:17;Lakhish;Yavne;42
311;2022-08-05;17:56:17;Lakhish;Ben Zakai;42
312;2022-08-05;17:56:17;Lakhish;Maon Tzofia;42
313;2022-08-05;17:56:39;Lakhish;Ad Halom Industrial Zone;42
314;2022-08-05;17:56:39;Lakhish;Ashdod - Gimmel,Vav,Zain;42
315;2022-08-05;17:56:39;Lakhish;Ashdod - Het,Tet,Yod,Yod Gimmel,Yod Dalet,Tet Zain;42
316;2022-08-05;17:56:39;Lakhish;Azrikam;42
317;2022-08-05;17:56:39;Lakhish;Sdeh Uziahu;42
318;2022-08-05;17:56:39;Lakhish;Shtulim;42
319;2022-08-05;17:57:31;Gaza Envelope;Sderot;42
320;2022-08-05;17:57:31;Gaza Envelope;Ibim;42
321;2022-08-05;17:57:31;Gaza Envelope;Nir Am;42
322;2022-08-05;17:57:34;Gaza Envelope;Mefalsim;42
323;2022-08-05;17:57:35;Gaza Envelope;Gavim;42
324;2022-08-05;17:57:35;Gaza Envelope;Sapir College;42
325;2022-08-05;17:57:39;Gaza Envelope;Nir Am Shooting Range;42
326;2022-08-05;18:00:57;Gaza Envelope;Gavim;43
327;2022-08-05;18:00:57;Gaza Envelope;Sapir College;43
328;2022-08-05;18:00:57;Gaza Envelope;Sderot;43
329;2022-08-05;18:00:57;Gaza Envelope;Ibim;43
330;2022-08-05;18:00:57;Gaza Envelope;Nir Am;43
331;2022-08-05;18:00:58;Gaza Envelope;Nir Am Shooting Range;43
332;2022-08-05;18:01:03;Western Lakhish;Ashkelon Southern Industrial Zone;43
333;2022-08-05;18:01:03;Western Lakhish;Mavki'im;43
334;2022-08-05;18:04:52;Lakhish;Gan HaDarom;44
335;2022-08-05;18:04:52;Lakhish;Gan Yavne;44
336;2022-08-05;18:04:52;Lakhish;Bnei Darom Compound;44
337;2022-08-05;18:04:52;Lakhish;Kvutzat Yavne;44
338;2022-08-05;18:05:02;Dan;Bat Yam;44
339;2022-08-05;18:05:02;Dan;Rishon LeZion - West;44
340;2022-08-05;18:05:07;Lakhish;Bnei Darom;44
341;2022-08-05;18:08:17;Gaza Envelope;Sderot;45
342;2022-08-05;18:08:17;Gaza Envelope;Ibim;45
343;2022-08-05;18:08:17;Gaza Envelope;Nir Am;45
344;2022-08-05;18:08:53;Gaza Envelope;Or HaNer;45
345;2022-08-05;18:08:54;Gaza Envelope;Nir Am Shooting Range;45
346;2022-08-05;18:08:54;Gaza Envelope;Gavim;45
347;2022-08-05;18:08:54;Gaza Envelope;Sapir College;45
348;2022-08-05;18:10:05;Gaza Envelope;Sderot;45
349;2022-08-05;18:10:05;Gaza Envelope;Ibim;45
350;2022-08-05;18:10:05;Gaza Envelope;Nir Am;45
351;2022-08-05;18:10:05;Gaza Envelope;Nir Am Shooting Range;45
352;2022-08-05;18:10:05;Gaza Envelope;Gavim;45
353;2022-08-05;18:10:05;Gaza Envelope;Sapir College;45
354;2022-08-05;18:13:30;Gaza Envelope;Mefalsim;46
355;2022-08-05;18:13:38;Gaza Envelope;Nir Am Shooting Range;46
356;2022-08-05;18:13:38;Gaza Envelope;Sderot;46
357;2022-08-05;18:13:38;Gaza Envelope;Ibim;46
358;2022-08-05;18:13:38;Gaza Envelope;Nir Am;46
359;2022-08-05;18:15:55;Western Negev;Netivot;47
360;2022-08-05;18:16:10;Gaza Envelope;Zimrat;47
361;2022-08-05;18:16:10;Gaza Envelope;Shuva;47
362;2022-08-05;18:16:12;Gaza Envelope;Sa'ad;47
363;2022-08-05;18:16:12;Gaza Envelope;Kfar Maimon and Tushia;47
364;2022-08-05;18:16:20;Gaza Envelope;Shokeda;47
365;2022-08-05;18:52:45;Gaza Envelope;Sderot;48
366;2022-08-05;18:52:45;Gaza Envelope;Ibim;48
367;2022-08-05;18:52:45;Gaza Envelope;Nir Am;48
368;2022-08-05;18:57:29;Western Lakhish;Ashkelon Southern Industrial Zone;49
369;2022-08-05;18:58:51;Gaza Envelope;Kfar Azza;49
370;2022-08-05;19:03:20;Gaza Envelope;Nachal Oz;50
371;2022-08-05;19:13:30;Gaza Envelope;Netiv HaAssara;51
372;2022-08-05;19:13:42;Western Lakhish;Ashkelon Southern Industrial Zone;51
373;2022-08-05;19:13:56;Gaza Envelope;Karmia;51
374;2022-08-05;19:13:57;Western Lakhish;Ashkelon - South;51
375;2022-08-05;19:13:58;Gaza Envelope;Zikim;51
376;2022-08-05;19:15:37;Gaza Envelope;Netiv HaAssara;52
377;2022-08-05;19:15:40;Gaza Envelope;Yad Mordechai;52
378;2022-08-05;19:15:43;Western Lakhish;Ashkelon Southern Industrial Zone;52
379;2022-08-05;19:19:31;Gaza Envelope;Karmia;53
380;2022-08-05;19:19:39;Gaza Envelope;Zikim;53
381;2022-08-05;19:40:07;Gaza Envelope;Ein HaBsor;54
382;2022-08-05;19:40:32;Gaza Envelope;Magen;54
383;2022-08-05;19:49:06;Gaza Envelope;Be'eri;55
384;2022-08-05;19:56:27;Western Lakhish;Ashkelon Southern Industrial Zone;56
385;2022-08-05;19:56:34;Western Lakhish;Ashkelon - South;56
386;2022-08-05;19:56:41;Gaza Envelope;Karmia;56
387;2022-08-05;19:56:46;Gaza Envelope;Yad Mordechai;56
388;2022-08-05;19:56:46;Gaza Envelope;Netiv HaAssara;56
389;2022-08-05;19:56:46;Gaza Envelope;Zikim;56
390;2022-08-05;20:01:23;Gaza Envelope;Mefalsim;57
391;2022-08-05;20:01:29;Gaza Envelope;Nir Am Shooting Range;57
392;2022-08-05;20:02:09;Gaza Envelope;Sderot;57
393;2022-08-05;20:02:09;Gaza Envelope;Ibim;57
394;2022-08-05;20:02:09;Gaza Envelope;Nir Am;57
395;2022-08-05;20:04:34;Gaza Envelope;Be'eri;58
396;2022-08-05;20:04:41;Gaza Envelope;Ein HaShlosha;58
397;2022-08-05;20:04:43;Gaza Envelope;Nirim;58
398;2022-08-05;20:11:30;Gaza Envelope;Nachal Oz;59
399;2022-08-05;20:11:32;Gaza Envelope;Alumim;59
400;2022-08-05;20:21:41;Western Lakhish;Ashkelon Southern Industrial Zone;60
401;2022-08-05;20:21:41;Western Lakhish;Ashkelon - South;60
402;2022-08-05;20:21:41;Western Lakhish;Karmia;60
403;2022-08-05;20:30:12;Gaza Envelope;Nachal Oz;61
404;2022-08-05;20:43:02;Western Lakhish;Ashkelon Southern Industrial Zone;62
405;2022-08-05;20:43:28;Gaza Envelope;Sderot;62
406;2022-08-05;20:43:28;Gaza Envelope;Ibim;62
407;2022-08-05;20:43:28;Gaza Envelope;Nir Am;62
408;2022-08-05;20:43:43;Gaza Envelope;Erez;62
409;2022-08-05;21:08:19;Gaza Envelope;Alumim;63
410;2022-08-05;21:08:24;Gaza Envelope;Zimrat;63
411;2022-08-05;21:08:24;Gaza Envelope;Shuva;63
412;2022-08-05;21:09:29;Gaza Envelope;Sderot;63
413;2022-08-05;21:09:29;Gaza Envelope;Ibim;63
414;2022-08-05;21:09:29;Gaza Envelope;Nir Am;63
415;2022-08-05;21:09:29;Gaza Envelope;Gavim;63
416;2022-08-05;21:09:29;Gaza Envelope;Sapir College;63
417;2022-08-05;21:09:34;Gaza Envelope;Nir Am Shooting Range;63
418;2022-08-05;21:09:34;Gaza Envelope;Mefalsim;63
419;2022-08-05;21:11:32;Gaza Envelope;Nirim;64
420;2022-08-05;21:11:32;Gaza Envelope;Ein HaShlosha;64
421;2022-08-05;21:14:04;Gaza Envelope;Gavim;65
422;2022-08-05;21:14:04;Gaza Envelope;Sapir College;65
423;2022-08-05;21:14:04;Gaza Envelope;Sderot;65
